cisd_type,max_cisd_bars,entry,rr,volume_filter,wick_filter,sweep_atr_filter,stop_buffer,trades,trades_per_day,win_rate,net_r,expectancy_r,profit_factor,max_drawdown_r,max_losing_streak,avg_mfe_r,avg_mae_r,sweet_spot_4_6,acceptable_3_8
EXTREME_OPEN,5,FIB_786,3.0,0.0,0.4,0.05,0.5,1548,4.929936305732484,38.17829457364341,816.0,0.5271317829457365,1.8526645768025078,13.0,12,2.4024649062326455,1.2325533291050934,True,True
LAST_OPPOSING,5,FIB_786,3.0,1.2,0.0,0.05,0.25,1473,4.691082802547771,38.17934782608695,776.0,0.526816021724372,1.8527472527472528,18.0,12,2.3839920100796013,1.2350684693995642,True,True
EXTREME_OPEN,5,FIB_786,3.0,1.2,0.0,0.15,0.25,1282,4.082802547770701,38.17330210772833,675.0,0.5265210608424337,1.8522727272727273,16.0,13,2.4007180745635344,1.2529608256760745,True,True
EXTREME_OPEN,3,FIB_705,2.5,0.0,0.3,0.15,0.25,1764,5.617834394904459,43.61883153715258,928.5,0.5263605442176871,1.9341046277665996,12.0,12,2.126084455015679,1.0601503483065562,True,True
EXTREME_OPEN,5,FIB_786,3.0,0.0,0.3,0.15,0.5,1631,5.194267515923567,38.15950920245399,858.0,0.5260576333537706,1.8511904761904763,14.0,10,2.3955156859401576,1.2157600578136654,True,True
EXTREME_OPEN,5,FIB_705,2.5,0.0,0.4,0.05,0.25,1727,5.5,43.60162130862768,908.5,0.5260567458019687,1.9327515400410678,14.0,11,2.140186164841005,1.0692650487228,True,True
LAST_OPPOSING,5,FIB_786,2.5,1.2,0.0,0.0,0.5,1519,4.837579617834395,43.61001317523056,799.0,0.5260039499670837,1.933411214953271,13.0,12,2.183341375810874,1.122551157323348,True,True
EXTREME_OPEN,5,FIB_786,3.0,0.0,0.4,0.15,0.5,1261,4.015923566878981,38.144329896907216,663.0,0.5257731958762887,1.85,12.0,12,2.3764061237862566,1.2152793633694767,True,True
EXTREME_OPEN,8,FIB_786,2.5,1.2,0.0,0.0,0.25,1559,4.964968152866242,43.58151476251604,818.5,0.5250160359204619,1.9311717861205915,16.5,12,2.243168998970884,1.1729095175736777,True,True
EXTREME_OPEN,8,FIB_786,2.5,1.2,0.0,0.05,0.25,1511,4.812101910828026,43.576158940397356,793.0,0.5248180013236268,1.9307511737089202,18.0,11,2.2422167637182016,1.1745364950884614,True,True
EXTREME_OPEN,3,FIB_786,3.0,0.0,0.3,0.15,0.5,1580,5.031847133757962,38.12539582013933,829.0,0.5246835443037975,1.8485158648925282,14.0,10,2.40194593133508,1.219646142209708,True,True
EXTREME_OPEN,3,FIB_705,2.5,0.0,0.4,0.0,0.25,1774,5.649681528662421,43.54201917653695,929.0,0.5236753100338218,1.928071928071928,18.0,13,2.149913240499988,1.0918837631019525,True,True
LAST_OPPOSING,5,FIB_786,2.5,1.2,0.0,0.05,0.5,1476,4.7006369426751595,43.525423728813564,772.0,0.5230352303523035,1.9267707082833134,14.5,11,2.1828291936074655,1.1239804950646413,True,True
